names	A_loading	AUCs	corrs	color
IgG3_ClassI.12.73.	1	0.555555555555556	0.0963738849304853	Red
IgG3_MICA.1.99.	1	0.333333333333333	-0.289570253439504	Blue
IgG3_MICA.2.100.	1	0.382716049382716	-0.204834638661831	Blue
FcR3A_ClassII.1.77.	1	0.395061728395062	-0.18203956042425	Blue
IgG3_ClassII.1.77.	0.551954988059784	0.358024691358025	-0.246543379197327	Blue
IgG3_ClassI.10.54.	0.532725849150634	0.320987654320988	-0.310698434157725	Blue
IgG3_ClassII.5.87.	0.408510303970537	0.419753086419753	-0.139639715084374	Blue
IgG3_ClassI.9.47.	0.372856831107276	0.444444444444444	-0.0967741935483871	Blue
C1Q_ClassI.6	0.314714993876724	0.234567901234568	-0.460928926325438	Blue
FcR3A_ClassI.1.6.	0.294882949903779	0.271604938271605	-0.396203749158662	Blue
IgM_ClassI.5.19.	0.00771492789463568	0.802469135802469	0.524973216335467	Red
IgG3_ClassI.2.9.	0.105767895770555	0.62962962962963	0.224988521286629	Red
IgG3_ClassI.4.17.	0.198957873130321	0.567901234567901	0.117851130197758	Red
IgG3_ClassI.3.15.	0.122625950123636	0.506172839506173	0.0107137391088871	Red
IgG3_ClassI.11.64.	0.155424039679416	0.487654320987654	-0.0214496484029262	Blue
C1Q_ClassI.12	0.0739321297872319	0.41358024691358	-0.150225315328585	Blue
IgG3_ClassI.8.44.	0.114888225673974	0.401234567901235	-0.171508437702488	Blue
